name,lat,lon,dgis_id,dgis_match_name,dgis_address,dgis_point_lat,dgis_point_lon,dgis_general_rating,dgis_general_review_count,dgis_general_review_count_with_stars,dgis_org_rating,dgis_org_review_count,dgis_rating_raw,dgis_review_count_raw
Com,55.76828,37.644618,7E+16,"Com 1989, кафе вьетнамской кухни","Мясницкая улица, 46 ст1",55.768263,37.644684,3.4,7,12,4.5,164,,
Шоколадница,55.757364,37.631644,4.50413E+15,"Шоколадница, кофейня","улица Маросейка, 3/13 ст1",55.757378,37.63158,3.2,282,574,3.2,3191,3.3,8
Кофе Хауз,55.757643,37.658665,7E+16,"Sweet lavka, магазин азиатских сладостей","улица Земляной Вал, 33",55.757617,37.658685,4,13,21,3.7,88,,
Алтаргана,55.767346,37.652294,4.50413E+15,"Алтаргана, кафе","Садовая-Черногрязская улица, 3Б ст1",55.767331,37.652387,4.6,151,252,4.6,151,3,5
Буржуй,55.774863,37.67189,4.50413E+15,"Буржуй, свадебная площадка","Нижняя Красносельская улица, 40/12 к8",55.774832,37.672039,4.3,11,29,4.7,24,5,1
Kalabasa,55.762531,37.679773,7E+16,"Kalabasa, ресторан и кондитерская","набережная Академика Туполева, 15 к26",55.762569,37.679773,5,574,16383,5,574,5,2
Погребок,55.761781,37.634187,,,,,,,,,,,,
Кафе на Басманной,55.768943,37.668711,4.50413E+15,"На Басманной, кафе","Старая Басманная улица, 34",55.768962,37.668699,5,37,40,5,37,,
БлинБери,55.764734,37.639685,7E+16,"БлинБери, блинная быстрого обслуживания","Чистопрудный бульвар, 1а",55.764762,37.6397,3.8,9,15,4.5,373,,
Тбилисо,55.768274,37.679352,7E+16,"Тбилисо, хинкальная","Бауманская улица, 58/3 ст2",55.768326,37.67944,4,37,48,3.9,120,5,1
Surf Coffee,55.762409,37.634897,7E+16,"Лавка Счастья, магазин кондитерских изделий","Мясницкая улица, 13 ст3",55.762633,37.63465,4.3,3,6,4.2,23,,
Чайная высота,55.759955,37.64798,4.50413E+15,"Чайная высота, дом чая и мороженого","улица Покровка, 27 ст1",55.760022,37.647897,4.8,66,269,4.8,107,4.5,40
Black Milk,55.762112,37.642506,7E+16,"Black milk, кофейня","Чистопрудный бульвар, 12 к4",55.762121,37.642627,4.8,51,70,4.9,100,5,3
Булка,55.759546,37.646376,4.50413E+15,"Булка, ресторан-пекарня","улица Покровка, 19",55.759532,37.646441,4.4,102,183,3.7,183,4.4,27
Бейрут,55.764267,37.653134,4.50413E+15,"Бейрут, кафе","улица Машкова, 22",55.764258,37.653183,4.6,52,66,4.6,52,4.1,7
Prime,55.761639,37.658445,4.50413E+15,"Prime, кафе","улица Земляной Вал, 9",55.762126,37.658796,4.7,18,46,4.6,1505,5,2
Кафе-столовая,55.776492,37.694608,,,,,,,,,,,,
Frank by Баста,55.762827,37.635186,7E+16,"Frank by Баста, реберная","Мясницкая улица, 24",55.762841,37.635262,4.9,3389,37556,4.9,24844,,
Брусника,55.757627,37.636339,4.50413E+15,"Брусника, кафе-кулинария","улица Маросейка, 8",55.757636,37.636436,4.4,205,351,4.5,1521,4.1,46
Николай,55.764477,37.657061,4.50413E+15,"Николай, бар-буфет","Старая Басманная улица, 5 ст1",55.764465,37.657073,4.7,34,42,4.7,95,4.2,6
Maestrello,55.758775,37.645873,7E+16,"Pizza Maestrello, кафе-пиццерия","улица Покровка, 16",55.758804,37.645846,4.8,225,445,4.8,451,4.6,16
Рамен Клаб,55.760852,37.632489,4.50413E+15,"Рамен-клаб, раменная","Мясницкая улица, 16",55.760869,37.632531,4.2,94,124,3.6,199,4.3,14
Волконский,55.765075,37.638946,,,,,,,,,,,,
Kiosk 1936,55.761946,37.642661,7E+16,"kiosk 1936, кафе","Чистопрудный бульвар, 12 к4",55.761982,37.642774,4.7,99,218,4.7,99,,
КК 12/10,55.761911,37.635784,,,,,,,,,,,,
Beats & Brew,55.754999,37.667156,7E+16,"Beats&Brew, кофейня","4-й Сыромятнический переулок, 3/5 ст3",55.755012,37.667209,5,5,7,5,5,,
Академия вкуса,55.769155,37.672822,,,,,,,,,,,,
Месье Круассан,55.770846,37.678783,4.50413E+15,"Месье круассан, кафе","Бауманская улица, 42",55.770892,37.678858,3.9,54,67,3.9,54,4,4
Bubble Mania,55.757648,37.636641,7E+16,"Bubble point, кофейня","улица Маросейка, 8",55.757643,37.636561,5,1,1,5,1,,
